,Review,Language,Translated
148,"Hatte mich für dieses Akkuschrauber entschieden,da mein alter defekt war und ich weder Akkus noch ein Ladegerät brauchte. Leider ist bei diesem Modell das Bohrfutter sehr schwergängig. Ist nicht die Qualität die ich von Makita kenne.",de,"I decided to buy this cordless screwdriver because my old one was defective and I didn't need batteries or a charger. Unfortunately, the chuck on this model is very stiff. It's not the quality I'm used to from Makita."
149,"Da mein alter Schrauber geklaut wurde brauchte ich Ersatz. Akkus und Ladegerät waren noch da, daher brauchte ich nur das Gerät. Ich habe mich diesmal für einen Schlagbohrschrauber entschieden um noch etwas flexibler zu sein und nicht für jeden Dübel gleich mit Kabeltrommel und Bohrhammer anzurücken.Was soll ich sagen, das Ding macht Löcher. Natürlich ist ein Bohrhammer oder eine Schlagbohrmaschine eine andere Liga, aber für schnell Mal ein Loch ist es sehr praktisch.Ansonsten wie von meinem alten Schrauber gewohnt: Kraftvoll, gut in der Hand, gute Ausdauer...Immer wieder gerne",de,"Since my old screwdriver was stolen, I needed a replacement. The batteries and charger were still there, so I only needed the tool. This time I decided on an impact drill to be a bit more flexible and not have to bring a cable drum and hammer drill for every dowel. What can I say, the thing makes holes. Of course, a hammer drill or an impact drill is in a different league, but it's very practical for quickly making a hole. Otherwise, it's just like my old screwdriver: powerful, good in the hand, good endurance...I'll be back again and again!"
150,"Ich habe den Artikel heute erhalten.Der Artikel wurde nach der Bestellung schnell geliefert. Soweit so gut.Beim Auspacken den Gerätes fiel mir auf, dass es lediglich in eine Tüte geschweißt war und bei näherer Betrachtung der Schraubers sieht es deutlich so aus, dass ich nicht der erste bin der diesen Artikel benutzt. Es sind deutliche Gebrauchsspuren zu sehen. Ich hoffe das Gerät hält dennoch was es verspricht.",de,"I received the item today.the item was delivered quickly after ordering. When I unpacked the device, I noticed that it was only welded in a bag and on closer inspection of the screwdriver, it clearly looks like I am not the first person to use this item. There are clear signs of use. I hope the device still delivers what it promises."
151,"Sehr kraftvoll und stark. Leider läuft das Borfutter nicht 100% rund, was aber für Löcher in der Wand nicht stören sollte.Für den Heimwerker OK, für Profis eher nicht, ohne Austausch vom Borfutter...Zum Schrauben nehmen wir unsere andere Makita, zum Bohren diese hier.Wer nicht zu viel erwartet wird hier auch nicht enttäuscht.LG",de,"Very powerful and strong. Unfortunately, the boron chuck does not run 100% round, but this should not be a problem for holes in the wall.OK for the do-it-yourselfer, but not for professionals, without replacing the boron chuck...For screwing we use our other Makita, for drilling this one.Whoever does not expect too much will not be disappointed here.LG"
152,"Makita, der Name spricht für sich !! Der Schrauber hat eine enorme Kraft auch in kleiner Drehzahl. Handhabung ist wie bei all meinen Makita - Geräten super . Und ein Traum der Akku in Leistung, Verbrauch und aufladen!! Die nächste Maschine ist wieder von Makita.",de,"Makita, the name speaks for itself !!! The screwdriver has enormous power even at low speeds. Handling is great, as with all my Makita tools. And the battery is a dream in terms of performance, consumption and charging! The next machine will be from Makita again."
153,"Guter Robuster Schlagbohrschrauber, zügige Lieferung",de,"Good robust impact drill, speedy delivery"
154,"Sehr guter Akkuschrauber, wie ich es von Makita gewohnt bin. Preis Leistung ausgezeichnet. Schnelle Lieferung, Verkäufer kann man nur empfehlen.",de,"Very good cordless screwdriver, as I am used to from Makita. Excellent price/performance ratio. Fast delivery, I can only recommend the seller."
155,"Bestes Preis-Leistungsverhältnis für einen qualitativ hochwertigen Akku-Bohr-Schlag-Schrauber.3 in 1, was will man mehr...",de,"Best price-performance ratio for a high-quality cordless drill-impact wrench.3 in 1, what more could you want..."
156,Qualität zahlt sich eben aus!,de,Quality pays off!
157,Promote und schnelle Lieferung sehr gutes Arbeiten mit dem Gerät,de,Promote and fast delivery very good working with the device
158,"Top Produkt, Super damit zu arbeiten. Habe lange hin und her überlegt welcher Makita Schrauber es werden soll und bin mir mehr als zufrieden mit meiner Auswahl. Gedacht war er als zweiter Akkuschrauber weil mir das ständige Bitwechseln auf die Eier ging, aber mir wurde sehr schnell klar und bewusst dass ich ein neues Erstgerät habe. Liegt super in der Hand und das Gewicht passt auch. Der Versand ging sehr schnell.",de,"Top product, great to work with. I thought about which Makita screwdriver I wanted for a long time and I am more than happy with my choice. I thought of it as a second cordless screwdriver because the constant changing of bits was getting on my nerves, but I quickly realised that I had a new first tool. It feels great in the hand and the weight is right. The shipping was very fast."
159,Hier handelt es sich um einen Nachbau!Der Preis ist passend!Bohrkopf hat etwas spiel macht aber was er soll!Als Schlagschrauber is er nicht geeignet da er zu leicht ist!Aber bei dem Preis würde ich ihn aber qieder kaifen!,de,This is a replica!The price is suitable!Drill head has some play but does what he should!As an impact wrench he is not suitable because he is too light!But at the price I would kaifen him but qieder!
160,"Ein sehr guter Schrauber, benutze ihn privat als hobby bastler und finde ihn super.Mit der Schlagbohr funktion lassen dich sehr gut löcher in Ziegrlwände bohren, bei beton wirds aber happig. Mit Holz bohren hat er keine Problrme und such schrauben verdänkt er sehr gut. Top preis für top maschiene.",de,"A very good screwdriver, I use it privately as a hobbyist and find it great. with the impact drilling function, you can drill holes in brick walls very well, but with concrete it's tough. With wood drilling it has no problems and such screws it soaks very well. Top price for a top machine."
161,Für größere Schrauben bei Holzkonstruktionen sehr gut geeignet.,de,Very suitable for larger screws in wooden constructions.
162,Mir persönlich gefällt die kurze Form. Liegt sehr ausgewogen in der Hand. Top preis.,de,I personally like the short shape. It is very balanced in the hand. Top price.
163,"Verpackung und Lieferung top. Gerät funktioniert einwandfrei. Selbst Löcher in Mauerwerk sind dank Schlagwerk kein Problem. Mit 36/62 Nm Drehmoment sehr kraftvoll. Klare Kaufempfehlung.Mit Zubehör-Akkus und Ladegerät auch zum erschwinglichen Preis, und für 8,90 Euro gibt's den passendenKoffer von Makita dazu (Makita Transportkoffer BDF343 DDF453 BHP453 DHP 453).",de,"Top packaging and delivery. The device works perfectly. Even holes in masonry are no problem thanks to the percussion mechanism. Very powerful with 36/62 Nm torque. With accessory batteries and charger at an affordable price, and for 8.90 euros you can get the matching case from Makita (Makita transport case BDF343 DDF453 BHP453 DHP 453)."
164,Ich habe erst vor kurzem auf das Makita-System gewechselt und bin mehr als zufrieden. Ich betreibe den Schlagbohrschrauber zusammen mit dem Makita 18V 5.0Ah Akku. Der Schrauber liegt sehr gut in der Hand und fühlt sich griffig und hochwertig an. Tolle Verarbeitung!,de,I have only recently switched to the Makita system and am more than satisfied. I use the impact drill together with the Makita 18V 5.0Ah battery. The screwdriver feels very good in the hand and has a good grip and high-quality feel. Great workmanship!
165,Wunderbar Sehr gut und günstig,de,Wonderful Very good and cheap
166,Ideal solution as I already had a Makita impact driver,en,Ideal solution as I already had a Makita impact driver
167,Makita ist und bleibt top,de,Makita is and remains top
168,ok,en,ok
169,"Zu schwer, wie kaufen sonst nur Hilti.",de,"Too heavy, as only Hilti usually buys."
170,super gerät,de,super device
171,Das Preis leistungs Verhältnis passt hier super. Tolle maschiene toller Preis,de,The price-performance ratio is perfect here. Great machine great price
172,Hat mich richtig positiv überrascht.  Kann man nur empfehlen.,de,It really surprised me in a positive way.  I can only recommend it.
173,Makita hält was es verspricht,de,Makita delivers what it promises
174,"Habe mir diesen Akku-Schlagbohrschrauber als Nachfolger zu meiner alten ""2011er"" Maschine bestellt und bin fasziniert, wie gut das kleinere Modell ist. Deutlich höhere Geschwindigkeiten und mehr Hub im Schlag. Toll...:-)",de,"I ordered this cordless impact drill as a successor to my old ""2011"" machine and am fascinated by how good the smaller model is. Significantly higher speeds and more stroke in the impact. Great...:-)"
175,"Hele fijne machine, veelzijdig en van goede kwaliteit",nl,"Very fine machine, versatile and good quality"
176,"Nach kurzem gebrauch, eiert das Bohrfutter, für ein Markenprodukt wie Markita nicht akzeptabel.",de,"After a short time of use, the drill chuck is wobbling, which is unacceptable for a brand product like Markita."
177,"Habe gute Erfahrung mit Makitageräten, letzter Akkuschrauber hat mir  bei vielen Baustellen profimäßig geholfen ( 5Jahre )",de,"I have good experience with Makita tools, the last cordless screwdriver has helped me professionally on many construction sites (5 years)."
178,"Makita  ist  und bleibt  das beste.. diese  Griffiges Kleines Akku Schlagbohrschauber,  werde ich jeder  empfehlen.  das  preis ist hammer  .. in  handel  kosten 105-115 euro.hier 63 euro mit  versand. also  top.",de,"Makita is and remains the best... this handy little cordless impact drill, I will recommend to everyone. the price is awesome... in trade cost 105-115 euro.here 63 euro with shipping. so top."
179,"                    Die Medien konnten nicht geladen werden.                 Ich habe das Gerät wieder zurück gehen lassen, da ein massives Spiel im Bohrfutter vorgelegen hat.Da mich interessiert hat ob dieses Spiel nur bei meinem Gerät vorkommt oder ein Fehler in der Serie vorliegt habe ich einige Erkundigungen eingeholt.Mein erster Anruf ging an Makita direkt. Der Techniker den ich in der Leitung hatte sagte mir, dass ein zu starkes Spiel für ein neues Gerät ungewöhnlich sein und ich das Gerät am besten wieder zurück geben solle.Der Verkäufer (Netbuy24) zeigte sich kulant und nahm das Gerät zurück, wobei er darauf verwiesen hat, dass das von mir reklamierte Spiel vollkommen normal sei und alle seine Geräte dieses Typs dieses Spiel aufweisen. Dies sei auch so von Makita gewollt, da der Kopf ja beim Schlagbohren mitschwingen müsse.Das hat mich doch sehr stutzig gemacht! Daraufhin bin ich zum örtlichen Makita Händler. Dieser erklärte mir, dass dieses Spiel nicht normal sei und mir exakt das gleiche Gerät ohne dieses Spiel zeigte.Am Besten es macht sich jeder selbst ein Bild und schaut sich das Video an. Für mich sieht das irgendwie nach Qualitätsproblemen aus.....Ich habe mir übrigens jetzt einen DHP 458 zugelegt - der hat nur minimales Spiel im Borhfutter!",de,"                    The media could not be loaded.                 I had the unit returned because there was a massive amount of play in the drill chuck.Since I was interested in whether this play was unique to my unit or a fault in the series, I made some enquiries.My first call was to Makita directly. The technician I had on the line told me that too much play was unusual for a new machine and that I should return the machine. The seller (Netbuy24) was very accommodating and took the machine back, pointing out that the play I had complained about was completely normal and that all of his machines of this type had this play. This was also the way Makita wanted it, as the head had to swing when drilling, which made me very suspicious! So I went to my local Makita dealer. He explained to me that this play was not normal and showed me exactly the same tool without this play. It's best for everyone to see for themselves and watch the video. For me, this looks like a quality problem somehow.....By the way, I have now bought a DHP 458 - it only has minimal play in the chuck!"
180,Alles bestens,de,Everything fine
181,alle wie erwartet top,de,all top as expected
182,"Guten Tag, es ist so wie ich es mir vorgestellt habe Maschine in sehr gutem Zustand. Schneller Versand, Preis gut.",de,"Good day, it is as I imagined machine in very good condition. Fast shipping, price good."
183,"Gut händelbar, Kraft gut dosierbar, Drehmoment exakt einstellbar, Bohren in Stahl und Beton problemlos.Lange Arbeitszeit mit einem 18V 5AH",de,"Easy to handle, power can be dosed well, torque can be adjusted precisely, drilling in steel and concrete without problems.Long working time with an 18V 5AH"
184,"der Schrauber wurde in Belgien für den Rumänischen Markt gefertigt ,so die Angaben auf dem Geräteschild. Keine Verpackung im Makita Karton und keine Klammer dabei. Diese Angaben fehlen in der Produktbeschreibung.Ich probiere es mal wegen dem günstigen Preis aber da keine Garantieverlängerung möglich ist wird er zum ggf. Wegwerfprodukt.",de,"The screwdriver was manufactured in Belgium for the Romanian market, according to the information on the tool label. No packaging in the Makita box and no clamp. I'll give it a try because of the low price, but since there is no warranty extension, it may become a throwaway product."
185,Liegt super in der Hand damit macht das arbeiten richtig Spaß,de,Fits perfectly in the hand and makes working really fun
186,Preis Leistung Top,de,Price performance top
187,Ist einfach zuverlässig und hat Power mehr kann man nicht sagen. Eben das was man von Makita kennt,de,It's simply reliable and has power - that's all you can say. Just what you know from Makita
188,Ein solider Allround Akku Schrauber .Sauberes Laufgeräusche nicht zu laut .Viel Drehmoment welches sich leicht dosieren lässt da 21 Drehmoment Stufen.Schlagbohrfunktion überraschend gut ! Für gelegentliche Bohrungen ausreichend.Getriebe Gang Wahlschalter ist etwas leichtgängig da die rastpunkte kaum spürbar sind bzw fehlen . rastpunkte wären schöner in Sachen Haptik und Wertigkeit.Ansonsten kann ich diesen schlagbohrschrauber nur empfehlen !Viel Spaß damit !,de,"A solid all-round cordless screwdriver.clean running noise not too loud.plenty of torque which can be easily dosed because 21 torque steps.impact drilling function surprisingly good ! For occasional drilling sufficient. gear selector switch is a bit sluggish because the detents are hardly noticeable or missing. detents would be nicer in terms of haptics and value. otherwise, I can only recommend this impact drill screwdriver! have fun with it!"
189,"Gewohnte Qualität zu moderatem Preis, kann man nur empfehlen",de,"Familiar quality at a moderate price, can only be recommended"
190,wie beschrieben,de,As described
191,"Ich hoffe, das Bohrfutter hält besser als bei meiner anderen Maschine. Die musste bereits nach einem knappen Jahr zur Reparatur.",de,I hope the drill chuck holds better than on my other machine. That one had to be repaired after just under a year.
192,Mit der Maschine macht man gar nichts falsch! Für den Heimwerker absolut top,de,You can't go wrong with this machine! Absolutely top for the do-it-yourselfer
193,"Gutes Preis Leistungsverhältnis, liegt gut in der Hand ✋",de,"Good price-performance ratio, feels good in the hand ✋ Good value for money."
194,hat alles geklapt,nl,hat everything folded
195,Alles i.o. wie immer bei makita,de,Everything o.k. as always with makita
196,Kaufen nur makita  zwar teuer aber lange haltbar,de,Buy only makita expensive but long lasting
197,Für den Preis kann man nicht meckern. Funktionen gut.Mal schauen wie lange.,de,"For the price, you can't complain. Let's see how long it lasts."
198,"und gerademal ca. 2cm länger als der DDF 456 und das mit Schlagbohrfunktion ... Habe eine Alternative zu meinem alten DHP 453 ( funzt immer noch wie am 1. Tag ) gesucht bzw. wollte einen Bohrer und einen Schrauber gleichzeitig nutzen  ( Sockelleisten, Terreassenbau usw. , der Trend geht ja eher zu einem 3. Gerät *g* ) ... Kraftvolles und souveränes Auftreten des kleinen Kerls im Testlauf ... Bin mir sicher, das er auch jede weitere Aufgabe meistern wird, diese bewältigt er jetzt schon besser als der DHP 453 - daher thumbs up - klare Kaufempfehlung",de,"and just about 2cm longer than the DDF 456 and that with impact drilling function ... I was looking for an alternative to my old DHP 453 (still works like the first day) and wanted to use a drill and a screwdriver at the same time (skirting boards, terrace construction, etc.). The trend is more towards a 3rd tool *g* ) ... Powerful and confident appearance of the little guy in the test run ... I am sure that it will also master every other task, which it already manages better than the DHP 453 - so thumbs up - a clear buy recommendation."
199,"Ist halt MAKITA. Akku von anderen Maschinen kompatibel, darum erhebliche Kostenersparnis.",de,"It's just MAKITA. Battery compatible with other machines, therefore considerable cost saving."
200,Alles super,de,Everything great
201,im schrauben super beim bohren in holz auch gut aber in beton und stein lieber einen Bohrhammer nehmen ich bin in 3min nur 2 cm tief gekommen,de,"great for screwing, also good for drilling in wood, but in concrete and stone it's better to use a hammer drill, I only got 2 cm deep in 3 minutes."
202,Also für mich daheim sehr gut zu verwenden.,de,"So for me at home, very good to use."
203,"So kann ich mit der einen Bohren, mit der anderen schrauben, ohne erst Bohrer und Bit zu wechseln. Die dritte liegt im Haus statt in der Garage, um mal schnell was damit zu machen (meist Holzschrauben irgendwo rein drehen). Tadellos. Sicherlich sind die teureren auch besser, aber die DHP 482Z ist allemal gut genug für alles und besser als die Billiggeräte vom Discounter. Und: die 18V Akkus von Makitta (oder Zubehör) passen tadellos.Hilft Dir meine Beschreibung? Dann freue ich mich über einen kurzen ""Hilfreich"" Klick!",de,"So I can drill with one and screw with the other without having to change drill bits and bits. The third one is in the house instead of in the garage, so I can do something quickly with it (usually screw wood screws into something). Flawless. Of course, the more expensive ones are better, but the DHP 482Z is good enough for everything and better than the cheap tools from the discounter. And: the 18V batteries from Makitta (or accessories) fit perfectly.Does my description help you? Then I'm happy about a short ""Helpful"" click!"
204,Nicht anders zu erwarten einfach nur super immer wieder gerne,de,Not to be expected otherwise simply super always happy to return
205,"Top Qualität, schnelle Lieferung und gute Verarbeitung",de,"Top quality, fast delivery and good workmanship"
206,Super starker Akkuschrauber mit einer sehr hellen zusatz Leuchte superTeil,de,Super strong cordless screwdriver with a very bright additional light super part
207,                    Die Medien konnten nicht geladen werden.                 Akku Schreiber macht komische Geräusche und der Kasten Knart und die Bohrer sind schon benutz  Bohrer Kasten verkratz,de,                    The media could not be loaded.                 Battery recorder makes strange noises and the box is creaking and the drills are already used Drill box scratched
208,Alles wie beschrieben,de,Everything as described
209,"Als erstes.: ich bin wirklich ein Makita Fan! Von Akku Winkelschleifer bis Knieschoner habe ich alles davon.Zum Akkuschrauber selbst.:Wie in anderen Rezensionen schon sehr oft gelesen, hat auch meine Makita ein Spiel im Bohrkopf. Bin gelernter Maschinenschlosser und weiß wovon ich rede. Sorry MAKITA - dies ist wirklich zu viel. Ob Schlagfunktion hin oder her! Ich habe meinen Schrauber nicht zurück gesendet. Sollte es jedoch noch mehr werden bringe ich diesen höchst persönlich nach Rumänien zurück. Dort wird dieser zusammengebaut. Makita besitzt 11 Produktionsstandorte. Ev. Ist der in China doch einmal besser ;0))))War meine Rezension hilfreich? Bitte ein LIKE  Lg Mike",de,"First of all, I really am a Makita fan! I have everything from cordless angle grinders to knee pads. As I have read many times in other reviews, my Makita also has play in the drill head. I am a trained machinist and know what I am talking about. Sorry MAKITA - this is really too much. Impact function or not! I have not sent my screwdriver back. However, should there be any more, I will personally take it back to Romania. It will be assembled there. Makita has 11 production sites. Maybe the one in China is better ;0))))Was my review helpful? Please a LIKE Lg Mike"
210,"100% satisfied with this electric electric drilling machine. With a 5A battery is strong enough to make holes with any drill in any material, including concrete of the walls, wood and plastic. Also, I use to fix screws around and works very well too. If you need a good electric drilling machine, consider this one.",en,"100% satisfied with this electric electric drilling machine. With a 5A battery is strong enough to make holes with any drill in any material, including concrete of the walls, wood and plastic. Also, I use to fix screws around and works very well too. If you need a good electric drilling machine, consider this one."
211,"Brannte ein wenig, es roch, aber es scheint zu funktionieren.  Noch nicht intensiv genutzt!  Hergestellt in rumänien.  Makita sollte gut sein!",de,"Burned a little, it smelled, but it seems to work.  Not used intensively yet!  Made in Romania.  Makita should be good!"
212,Top TeilWie immer bei Makita,de,Top partAs always with Makita
213,"Schlagbohrschrauber so wie beschrieben,  Lieferung originalverpackt . Alles perfekt",de,"Impact drill as described, delivery in original packaging. Everything perfect"
214,"Für eine Massivdecke oder Massivwand neuerer Bauart ist es nicht zu gebrauchen, aber das wussten die Diebe nicht, die im Keller eingebrochen sind und diese mitgenommen haben.",de,"It is not usable for a solid ceiling or solid wall of newer construction, but the thieves who broke into the cellar and took these did not know that."
215,Hat nicht funktioniert war kaputt.,de,"Didn't work, was broken."
216,"Super Gerät, kann ich weiterempfehlen.",de,"Super device, I can recommend it to others."
217,Hat unkompliziert und super schnell geklappt.,de,It was uncomplicated and super fast.
218,Wie alles von makita gute Qualität,de,Like everything from makita good quality
219,Super. Die Akkulaufzeit ist der Hammer.,de,Super. The battery life is amazing.
220,Super vielen Dank,de,Super many thanks
221,"Erfüllt generell seinen Zweck. Aber es gibt keine Garantieverlängerung da dieses Gerät nicht off. für den deutschen Markt bestimmt ist. Es handelt sich um einen Re-Import. Allerdings trotzdem eine ""echte"" Makita und kein Dummy. Nur nicht off. für den deutschen Markt bestimmt - und somit auch keine Garantieverlängerung.In Zukunft werde ich darauf achten. Wobei ich zugeben muss - in den letzten 20 Jahren ist mir noch NIE eine Makita-Maschine kaputt gegangen - obwohl sie oft hart ran mussten.",de,"Generally fulfils its purpose. But there is no warranty extension as this device is not off. intended for the German market. It is a re-import. However, it is still a ""real"" Makita and not a dummy. Just not off. intended for the German market - and therefore also no warranty extension.in the future I will pay attention. I have to admit that in the last 20 years I have NEVER had a Makita machine break - even though they often had to work hard."
222,Schöner Akkuschrauber der sein Geld alle mal wert ist.,de,Beautiful cordless screwdriver that is well worth the money.
223,Okay,en,Okay
224,Alles Super ...,de,Everything Super ...
225,Top,en,Top
226,Nach einem Jahr normaler Nutzung bereits kaputt. Verkäufer sieht sich nicht in Gewährleistung wegen Beweislastumkehr. Kundenservice null. Dann tuts ein Billigschrauber direkt über Amazon besser. Da funktioniert die Rückgabe wenigstens anstandslos.,de,Already broken after one year of normal use. Seller does not consider himself under warranty because of reversal of burden of proof. Customer service zero. Then a cheap screwdriver directly from Amazon would do better. At least the return works without any problems.
227,Super,en,Super
228,Funktioniert perfekt,de,Works perfectly
229,Leistungsstark präzise leicht handlichKleine alles Könner bohren Schrauben egal einfach super,de,Powerful precise easy to handleSmall everything experts drill screws no matter simply super
230,Top Gerät macht was es soll,de,Top device does what it should
231,Qualität wie bei makita üblich super. Hab die Maschine aber nur 1 mal zum schlagbohren verwendet. Wollte da einen Brimmen Beton deckel bohren. Das Schlagwerk war für den Beton nicht besonders gut geeignet. Denke da ist eine Hilti doch besser. Aber sonst erfüllt die Maschibe ihren zweck.,de,Quality as usual with makita super. But I only used the machine once for impact drilling. I wanted to drill a Brimmen concrete lid. The percussion mechanism was not particularly well suited for concrete. I think a Hilti is better. But otherwise the machine fulfils its purpose.
232,"Da ich das ständige Umspannen von Schrauber Bits und Bohrern leid war, hab ich mir zusätzlich zu meinem bereits vorhandenem 18 V Akkuschrauber den DHP 482 Z bestellt. Er ist sehr kraftvoll beim Schrauben. Ich hab damit die Radmuttern meiner Winterräder angeschraubt und musste nur kurz mit dem Drehmomentschlüssel (120 Nm) nachziehen. Ein 6 mm Dübel-Loch in eine Kalksandsteinwand war in der Schlagbohrstellung ebenfalls kein Problem. Er ist kompakt und liegt sehr gut in der Hand.",de,"Since I was tired of constantly changing screwdriver bits and drills, I ordered the DHP 482 Z in addition to my existing 18 V cordless screwdriver. It is very powerful when screwing. I used it to screw on the wheel nuts of my winter wheels and only had to tighten them briefly with the torque spanner (120 Nm). A 6 mm dowel hole in a sand-lime brick wall was also no problem in the impact drilling position. It is compact and fits very well in the hand."
233,Makita ist für mich das Beste,de,Makita is the best for me
234,"Ich habe verschiedene Makita Werkzeuge im Einsatz von 10,8 bis zu 18V und arbeite zu 90% wenn es ums Schrauben und Bohren geht mit einer DHP453. Da diese aber immer mehr die Rolle des Tausendsassas übernehmen muss, wollte ich jetzt ein Gerät, was ich nur für meine Holzwerk-Projekte nutzen will und um die Schrauben bei diesen Verbindungen eindrehen zu können.Das Gerät arbeitet Leistungstärker als die DHP was sicherlich dem Planetengetriebe geschuldet ist.Ich würds wieder kaufen.",de,"I use various Makita tools from 10.8 to 18V and 90% of the time I work with a DHP453 when it comes to screwing and drilling. But since it has to take over the role of a jack-of-all-trades more and more, I now wanted a tool that I only want to use for my woodworking projects and to be able to screw in the screws for these connections. The tool is more powerful than the DHP, which is certainly due to the planetary gear."
235,Perfekt,de,Perfect
236,"Ein Akkuschrauber mit ordentlichem Drehmoment , kurze Bauform passt gut überall mit rein, mit 1,5 ah Akkus etwas durstig geht aber, schließlich muss die Kraft ja irgendwo herkommen. Ich bereite den Schrauber mit 5 ah Akkus dann geht richtig was, der Schauder scheint meiner Meinung nach auch so konstruiert zu sein, da er mit den großen Akkus gut austariert ist .",de,"A cordless screwdriver with decent torque, short design fits well everywhere, with 1.5 ah batteries a little thirsty but goes, finally, the power must come from somewhere. I use the screwdriver with 5 Ah batteries and then it really works, the shudder seems to be designed that way in my opinion, because it is well balanced with the large batteries."
237,Sehr gut,de,Very good
238,Super Bohrmaschine mit schlagbohr einstellung funktioniert super . Ist Empfehlenswert.,de,Super drill with impact drill setting works great. Is recommendable.
239,"Das Geräte wurde von mir ca. 1-mal pro Woche verwendet. D.h. es ist also nicht nur im Schrank gestanden, aber das entspricht auch bei weitem keiner Verwendung eines Handwerkers.Das Bohrfutter hatte von Anfang an Spiel, dies wurde mit der Zeit aber auch deutlich schlimmer. Auch hat das Gerät zuletzt Probleme bekommen den „Gang“ richtig reinzubekommen.Ein 25€ Akku-Schrauber von Bosch den ich nun schon 5 Jahre habe und in etwa gleich beansprucht wird funktioniert noch problemlos.Auf der positiven Seite ist das der Schrauber gut in der Hand liegt und durchzugsstark ist, das hilft aber nicht, wenn das Ding nach 2 Jahren kaputt ist. Ich hoffe mal das war nur ein Problem von diesem Gerät ...",de,"I used the tool about once a week. The drill chuck had play right from the start, but this got much worse over time, and the tool has recently had problems getting it into gear properly. A €25 cordless screwdriver from Bosch that I've had for 5 years now and which is used for about the same amount of time still works without any problems. On the positive side, the screwdriver feels good in the hand and is powerful, but that doesn't help when the thing is broken after 2 years. I hope that was only a problem with this device ..."
240,"Super stark, hat sehr gute Kraft",de,"Super strong, has very good power"
241,Mein 2.tes Gerät als Schlagbohrer. Richtig gut und durchzugsstark. Ersetzt nicht den Hilti aber im KS-Stein oder sonstigem Mauerwerk nehme ich den hier. Richtig harter Beton ist nicht für das Teil gedacht.,de,"My second tool as a percussion drill. Really good and powerful. Doesn't replace the Hilti, but I use this one for KS stone or other masonry. Really hard concrete is not intended for this part."
242,Funktioniert einwandfrei,de,Works perfectly
243,Super Teil. Stark genug für den ambitionierten Heimwerker und Bastler.Ob Holz oder Ziegelwand alles kein Problem. Bei Stahlbeton wird eher ein Bohrhammer gebraucht ist aber logisch.Plastikgehause macht einen Wertingen Eindruck und die Gummierung schützt den schrauber vor Stößen.Metall Clip ist groß und praktisch so wie das Licht welche ganz nett langsam ab dimmt beim ausgehen.Super Teil,de,"Super part. Strong enough for the ambitious do-it-yourselfer and hobbyist.whether wood or brick wall all no problem. With reinforced concrete, a hammer drill is more likely to be needed, but this is logical. plastic housing makes a good impression and the rubber coating protects the screwdriver from knocks. metal clip is large and practical, as is the light, which dims down slowly when going out. super part."
244,"... wie schon in anderen Rezensionen erwähnt,- bin ich im Fensterbau tätig, dass Gerät ist stark, robust und empfehlenswert,  lange Lebensdauer.",de,"... as already mentioned in other reviews,- I am active in window construction, that device is strong, robust and recommendable, long service life."
245,Preis-Leistungsverhältnis,de,Price-performance ratio
246,Borfutter wacklig Qualität lässt zu wünschen,de,Boron fodder shaky Quality leaves much to be desired
247,"Nach 2 Jahren Hausbau kann ich mit Fug und Recht behaupten, dass der Akkuschrauber jeden Cent wert ist.Er wurde nicht geschont und wirklich beansprucht. Aber es läuft tatsächlich noch alles so wie am ersten Tag, ich bin sehr zufrieden!",de,"After 2 years of building a house, I can justifiably say that the cordless screwdriver is worth every penny.it has not been spared and has really been put to the test. But everything is still running as it did on the first day, I am very satisfied!"
248,Super wie immer gerne wieder,de,Super as always gladly again
249,"Nach 30 10er Löcher bleibt das Futter stehen und der Motor deht weiter. Wen man ihn braucht verläste er einen. Habe auf der Arbeit schon viele Akkus gehabt Hilti Milwaukee Panasonic usw. aber das ist noch nie passiert. Was soll man dazu noch sagen, Ankerschaden nach halbstündigen gebrauch bin mal gespannt wie lange es dauer biss ich einen neuen bekomme da ich ihn dringent brauche. Ausserdem ist das Licht nicht zu gebrauchen da es nicht auf die Spitze sodern auf das Bohrfutter leuchtet. Ist das keinem ausser mir aufgefallen? Das ist ja noch nicht mal bei einem billigem Bosch der Fall. Ist jetzt schon die vierte Maschine von Makita aber mit sicherheit auch die letzte die alten waren besser verarbeitet.Da verzichte ich lieber auf Li on besser eine vernünftige Maschine. Zwei sterne wegen der Hohen Drehzahlen beim Bohren.",de,"After 30 10-holes, the chuck stops and the motor continues to run. When you need it, it leaves you. I have had many batteries at work Hilti Milwaukee Panasonic etc. but this has never happened. What else can I say, anchor damage after half an hour of use, I'm curious how long it will take to get a new one as I need it urgently. Also, the light is not usable because it doesn't shine on the tip but on the drill chuck. Has no one noticed this but me? That's not even the case with a cheap Bosch. This is already the fourth machine from Makita, but I'm sure it will be the last - the old ones were better made, so I'd rather do without a Li on and get a decent machine. Two stars because of the high speeds when drilling."
250,"Der Akkuschrauber erfüllt bei allen arbeiten (Bohren, Schlagbohren, Schrauben) alle Erwartungen.Mal sehen wie er arbeitet wenn er länger gebraucht wurde.",de,"The cordless screwdriver meets all expectations for all work (drilling, percussion drilling, screwing), let's see how it works when it has been used for a longer time."
251,Sehr schnelle Lieferung und genau was wir erwartet haben,de,Very fast delivery and exactly what we expected
252,Gut gerne wieder,de,Good gladly again
253,Nach 6 Monate noch immer top,de,Still top after 6 months
