,Review,Language,Translated,Word_Count,Char_Count,Stop-Words,Translated_Lower,Translated_Nopunc,Translated_Nostop,Translated_Noother,Cleaned_Review,Polarity,Subjectivity
148,"Hatte mich für dieses Akkuschrauber entschieden,da mein alter defekt war und ich weder Akkus noch ein Ladegerät brauchte. Leider ist bei diesem Modell das Bohrfutter sehr schwergängig. Ist nicht die Qualität die ich von Makita kenne.",de,"I decided to buy this cordless screwdriver because my old one was defective and I didn't need batteries or a charger. Unfortunately, the chuck on this model is very stiff. It's not the quality I'm used to from Makita.",39,,18,"i decided to buy this cordless screwdriver because my old one was defective and i didn't need batteries or a charger. unfortunately, the chuck on this model is very stiff. it's not the quality i'm used to from makita.",i decided to buy this cordless screwdriver because my old one was defective and i didn t need batteries or a charger  unfortunately  the chuck on this model is very stiff  it s not the quality i m used to from makita ,decided buy cordless screwdriver old one defective need batteries charger unfortunately chuck model stiff quality used makita,decided buy cordless screwdriver old one defective need batteries charger unfortunately chuck model stiff quality used makita,decided buy cordless screwdriver old one defective need battery charger unfortunately chuck model stiff quality used makita,-0.20476190476190478,0.5666666666666667
149,"Da mein alter Schrauber geklaut wurde brauchte ich Ersatz. Akkus und Ladegerät waren noch da, daher brauchte ich nur das Gerät. Ich habe mich diesmal für einen Schlagbohrschrauber entschieden um noch etwas flexibler zu sein und nicht für jeden Dübel gleich mit Kabeltrommel und Bohrhammer anzurücken.Was soll ich sagen, das Ding macht Löcher. Natürlich ist ein Bohrhammer oder eine Schlagbohrmaschine eine andere Liga, aber für schnell Mal ein Loch ist es sehr praktisch.Ansonsten wie von meinem alten Schrauber gewohnt: Kraftvoll, gut in der Hand, gute Ausdauer...Immer wieder gerne",de,"Since my old screwdriver was stolen, I needed a replacement. The batteries and charger were still there, so I only needed the tool. This time I decided on an impact drill to be a bit more flexible and not have to bring a cable drum and hammer drill for every dowel. What can I say, the thing makes holes. Of course, a hammer drill or an impact drill is in a different league, but it's very practical for quickly making a hole. Otherwise, it's just like my old screwdriver: powerful, good in the hand, good endurance...I'll be back again and again!",101,,42,"since my old screwdriver was stolen, i needed a replacement. the batteries and charger were still there, so i only needed the tool. this time i decided on an impact drill to be a bit more flexible and not have to bring a cable drum and hammer drill for every dowel. what can i say, the thing makes holes. of course, a hammer drill or an impact drill is in a different league, but it's very practical for quickly making a hole. otherwise, it's just like my old screwdriver: powerful, good in the hand, good endurance...i'll be back again and again!",since my old screwdriver was stolen  i needed a replacement  the batteries and charger were still there  so i only needed the tool  this time i decided on an impact drill to be a bit more flexible and not have to bring a cable drum and hammer drill for every dowel  what can i say  the thing makes holes  of course  a hammer drill or an impact drill is in a different league  but it s very practical for quickly making a hole  otherwise  it s just like my old screwdriver  powerful  good in the hand  good endurance   i ll be back again and again ,since old screwdriver stolen needed replacement batteries charger still needed tool time decided impact drill bit flexible bring cable drum hammer drill every dowel say thing makes holes course hammer drill impact drill different league practical quickly making hole otherwise like old screwdriver powerful good hand good endurance back,since old screwdriver stolen needed replacement batteries charger still needed tool time decided impact drill bit flexible bring cable drum hammer drill every dowel say thing makes holes course hammer drill impact drill different league practical quickly making hole otherwise like old screwdriver powerful good hand good endurance back,since old screwdriver stolen needed replacement battery charger still needed tool time decided impact drill bit flexible bring cable drum hammer drill every dowel say thing make hole course hammer drill impact drill different league practical quickly making hole otherwise like old screwdriver powerful good hand good endurance back,0.2791666666666667,0.4625
150,"Ich habe den Artikel heute erhalten.Der Artikel wurde nach der Bestellung schnell geliefert. Soweit so gut.Beim Auspacken den Gerätes fiel mir auf, dass es lediglich in eine Tüte geschweißt war und bei näherer Betrachtung der Schraubers sieht es deutlich so aus, dass ich nicht der erste bin der diesen Artikel benutzt. Es sind deutliche Gebrauchsspuren zu sehen. Ich hoffe das Gerät hält dennoch was es verspricht.",de,"I received the item today.the item was delivered quickly after ordering. When I unpacked the device, I noticed that it was only welded in a bag and on closer inspection of the screwdriver, it clearly looks like I am not the first person to use this item. There are clear signs of use. I hope the device still delivers what it promises.",62,,25,"i received the item today.the item was delivered quickly after ordering. when i unpacked the device, i noticed that it was only welded in a bag and on closer inspection of the screwdriver, it clearly looks like i am not the first person to use this item. there are clear signs of use. i hope the device still delivers what it promises.",i received the item today the item was delivered quickly after ordering  when i unpacked the device  i noticed that it was only welded in a bag and on closer inspection of the screwdriver  it clearly looks like i am not the first person to use this item  there are clear signs of use  i hope the device still delivers what it promises ,received item today item delivered quickly ordering unpacked device noticed welded bag closer inspection screwdriver clearly looks like first person use item clear signs use hope device still delivers promises,received item today item delivered quickly ordering unpacked device noticed welded bag closer inspection screwdriver clearly looks like first person use item clear signs use hope device still delivers promises,received item today item delivered quickly ordering unpacked device noticed welded bag closer inspection screwdriver clearly look like first person use item clear sign use hope device still delivers promise,0.19583333333333333,0.39999999999999997
151,"Sehr kraftvoll und stark. Leider läuft das Borfutter nicht 100% rund, was aber für Löcher in der Wand nicht stören sollte.Für den Heimwerker OK, für Profis eher nicht, ohne Austausch vom Borfutter...Zum Schrauben nehmen wir unsere andere Makita, zum Bohren diese hier.Wer nicht zu viel erwartet wird hier auch nicht enttäuscht.LG",de,"Very powerful and strong. Unfortunately, the boron chuck does not run 100% round, but this should not be a problem for holes in the wall.OK for the do-it-yourselfer, but not for professionals, without replacing the boron chuck...For screwing we use our other Makita, for drilling this one.Whoever does not expect too much will not be disappointed here.LG",57,,30,"very powerful and strong. unfortunately, the boron chuck does not run 100% round, but this should not be a problem for holes in the wall.ok for the do-it-yourselfer, but not for professionals, without replacing the boron chuck...for screwing we use our other makita, for drilling this one.whoever does not expect too much will not be disappointed here.lg",very powerful and strong  unfortunately  the boron chuck does not run 100  round  but this should not be a problem for holes in the wall ok for the do it yourselfer  but not for professionals  without replacing the boron chuck   for screwing we use our other makita  for drilling this one whoever does not expect too much will not be disappointed here lg,powerful strong unfortunately boron chuck run 100 round problem holes wall ok yourselfer professionals without replacing boron chuck screwing use makita drilling one whoever expect much disappointed lg,powerful strong unfortunately boron chuck run 100 round problem holes wall ok yourselfer professionals without replacing boron chuck screwing use makita drilling one whoever expect much disappointed lg,powerful strong unfortunately boron chuck run 100 round problem hole wall ok yourselfer professional without replacing boron chuck screwing use makita drilling one whoever expect much disappointed lg,-0.016666666666666687,0.6404761904761905
152,"Makita, der Name spricht für sich !! Der Schrauber hat eine enorme Kraft auch in kleiner Drehzahl. Handhabung ist wie bei all meinen Makita - Geräten super . Und ein Traum der Akku in Leistung, Verbrauch und aufladen!! Die nächste Maschine ist wieder von Makita.",de,"Makita, the name speaks for itself !!! The screwdriver has enormous power even at low speeds. Handling is great, as with all my Makita tools. And the battery is a dream in terms of performance, consumption and charging! The next machine will be from Makita again.",46,,19,"makita, the name speaks for itself !!! the screwdriver has enormous power even at low speeds. handling is great, as with all my makita tools. and the battery is a dream in terms of performance, consumption and charging! the next machine will be from makita again.",makita  the name speaks for itself     the screwdriver has enormous power even at low speeds  handling is great  as with all my makita tools  and the battery is a dream in terms of performance  consumption and charging  the next machine will be from makita again ,makita name speaks screwdriver enormous power even low speeds handling great makita tools battery dream terms performance consumption charging next machine makita,makita name speaks screwdriver enormous power even low speeds handling great makita tools battery dream terms performance consumption charging next machine makita,makita name speaks screwdriver enormous power even low speed handling great makita tool battery dream term performance consumption charging next machine makita,0.2,0.4875
153,"Guter Robuster Schlagbohrschrauber, zügige Lieferung",de,"Good robust impact drill, speedy delivery",6,,0,"good robust impact drill, speedy delivery",good robust impact drill  speedy delivery,good robust impact drill speedy delivery,good robust impact drill speedy delivery,good robust impact drill speedy delivery,0.7,0.6000000000000001
154,"Sehr guter Akkuschrauber, wie ich es von Makita gewohnt bin. Preis Leistung ausgezeichnet. Schnelle Lieferung, Verkäufer kann man nur empfehlen.",de,"Very good cordless screwdriver, as I am used to from Makita. Excellent price/performance ratio. Fast delivery, I can only recommend the seller.",22,,7,"very good cordless screwdriver, as i am used to from makita. excellent price/performance ratio. fast delivery, i can only recommend the seller.",very good cordless screwdriver  as i am used to from makita  excellent price performance ratio  fast delivery  i can only recommend the seller ,good cordless screwdriver used makita excellent price performance ratio fast delivery recommend seller,good cordless screwdriver used makita excellent price performance ratio fast delivery recommend seller,good cordless screwdriver used makita excellent price performance ratio fast delivery recommend seller,0.6333333333333333,0.7333333333333334
155,"Bestes Preis-Leistungsverhältnis für einen qualitativ hochwertigen Akku-Bohr-Schlag-Schrauber.3 in 1, was will man mehr...",de,"Best price-performance ratio for a high-quality cordless drill-impact wrench.3 in 1, what more could you want...",16,,6,"best price-performance ratio for a high-quality cordless drill-impact wrench.3 in 1, what more could you want...",best price performance ratio for a high quality cordless drill impact wrench 3 in 1  what more could you want   ,best price performance ratio high quality cordless drill impact wrench 3 1 could want,best price performance ratio high quality cordless drill impact wrench could want,best price performance ratio high quality cordless drill impact wrench could want,0.58,0.41999999999999993
156,Qualität zahlt sich eben aus!,de,Quality pays off!,3,,0,quality pays off!,quality pays off ,quality pays,quality pays,quality pay,0.0,0.0
157,Promote und schnelle Lieferung sehr gutes Arbeiten mit dem Gerät,de,Promote and fast delivery very good working with the device,10,,4,promote and fast delivery very good working with the device,promote and fast delivery very good working with the device,promote fast delivery good working device,promote fast delivery good working device,promote fast delivery good working device,0.44999999999999996,0.6000000000000001
158,"Top Produkt, Super damit zu arbeiten. Habe lange hin und her überlegt welcher Makita Schrauber es werden soll und bin mir mehr als zufrieden mit meiner Auswahl. Gedacht war er als zweiter Akkuschrauber weil mir das ständige Bitwechseln auf die Eier ging, aber mir wurde sehr schnell klar und bewusst dass ich ein neues Erstgerät habe. Liegt super in der Hand und das Gewicht passt auch. Der Versand ging sehr schnell.",de,"Top product, great to work with. I thought about which Makita screwdriver I wanted for a long time and I am more than happy with my choice. I thought of it as a second cordless screwdriver because the constant changing of bits was getting on my nerves, but I quickly realised that I had a new first tool. It feels great in the hand and the weight is right. The shipping was very fast.",74,,32,"top product, great to work with. i thought about which makita screwdriver i wanted for a long time and i am more than happy with my choice. i thought of it as a second cordless screwdriver because the constant changing of bits was getting on my nerves, but i quickly realised that i had a new first tool. it feels great in the hand and the weight is right. the shipping was very fast.",top product  great to work with  i thought about which makita screwdriver i wanted for a long time and i am more than happy with my choice  i thought of it as a second cordless screwdriver because the constant changing of bits was getting on my nerves  but i quickly realised that i had a new first tool  it feels great in the hand and the weight is right  the shipping was very fast ,top product great work thought makita screwdriver wanted long time happy choice thought second cordless screwdriver constant changing bits getting nerves quickly realised new first tool feels great hand weight right shipping fast,top product great work thought makita screwdriver wanted long time happy choice thought second cordless screwdriver constant changing bits getting nerves quickly realised new first tool feels great hand weight right shipping fast,top product great work thought makita screwdriver wanted long time happy choice thought second cordless screwdriver constant changing bit getting nerve quickly realised new first tool feel great hand weight right shipping fast,0.33795093795093795,0.5130772005772005
159,Hier handelt es sich um einen Nachbau!Der Preis ist passend!Bohrkopf hat etwas spiel macht aber was er soll!Als Schlagschrauber is er nicht geeignet da er zu leicht ist!Aber bei dem Preis würde ich ihn aber qieder kaifen!,de,This is a replica!The price is suitable!Drill head has some play but does what he should!As an impact wrench he is not suitable because he is too light!But at the price I would kaifen him but qieder!,37,,21,this is a replica!the price is suitable!drill head has some play but does what he should!as an impact wrench he is not suitable because he is too light!but at the price i would kaifen him but qieder!,this is a replica the price is suitable drill head has some play but does what he should as an impact wrench he is not suitable because he is too light but at the price i would kaifen him but qieder ,replica price suitable drill head play impact wrench suitable light price would kaifen qieder,replica price suitable drill head play impact wrench suitable light price would kaifen qieder,replica price suitable drill head play impact wrench suitable light price would kaifen qieder,0.5,0.7333333333333334
160,"Ein sehr guter Schrauber, benutze ihn privat als hobby bastler und finde ihn super.Mit der Schlagbohr funktion lassen dich sehr gut löcher in Ziegrlwände bohren, bei beton wirds aber happig. Mit Holz bohren hat er keine Problrme und such schrauben verdänkt er sehr gut. Top preis für top maschiene.",de,"A very good screwdriver, I use it privately as a hobbyist and find it great. with the impact drilling function, you can drill holes in brick walls very well, but with concrete it's tough. With wood drilling it has no problems and such screws it soaks very well. Top price for a top machine.",54,,24,"a very good screwdriver, i use it privately as a hobbyist and find it great. with the impact drilling function, you can drill holes in brick walls very well, but with concrete it's tough. with wood drilling it has no problems and such screws it soaks very well. top price for a top machine.",a very good screwdriver  i use it privately as a hobbyist and find it great  with the impact drilling function  you can drill holes in brick walls very well  but with concrete it s tough  with wood drilling it has no problems and such screws it soaks very well  top price for a top machine ,good screwdriver use privately hobbyist find great impact drilling function drill holes brick walls well concrete tough wood drilling problems screws soaks well top price top machine,good screwdriver use privately hobbyist find great impact drilling function drill holes brick walls well concrete tough wood drilling problems screws soaks well top price top machine,good screwdriver use privately hobbyist find great impact drilling function drill hole brick wall well concrete tough wood drilling problem screw soak well top price top machine,0.32301587301587303,0.5511904761904762
161,Für größere Schrauben bei Holzkonstruktionen sehr gut geeignet.,de,Very suitable for larger screws in wooden constructions.,8,,2,very suitable for larger screws in wooden constructions.,very suitable for larger screws in wooden constructions ,suitable larger screws wooden constructions,suitable larger screws wooden constructions,suitable larger screw wooden construction,0.18333333333333335,0.4166666666666667
162,Mir persönlich gefällt die kurze Form. Liegt sehr ausgewogen in der Hand. Top preis.,de,I personally like the short shape. It is very balanced in the hand. Top price.,15,,5,i personally like the short shape. it is very balanced in the hand. top price.,i personally like the short shape  it is very balanced in the hand  top price ,personally like short shape balanced hand top price,personally like short shape balanced hand top price,personally like short shape balanced hand top price,0.16666666666666666,0.3666666666666667
163,"Verpackung und Lieferung top. Gerät funktioniert einwandfrei. Selbst Löcher in Mauerwerk sind dank Schlagwerk kein Problem. Mit 36/62 Nm Drehmoment sehr kraftvoll. Klare Kaufempfehlung.Mit Zubehör-Akkus und Ladegerät auch zum erschwinglichen Preis, und für 8,90 Euro gibt's den passendenKoffer von Makita dazu (Makita Transportkoffer BDF343 DDF453 BHP453 DHP 453).",de,"Top packaging and delivery. The device works perfectly. Even holes in masonry are no problem thanks to the percussion mechanism. Very powerful with 36/62 Nm torque. With accessory batteries and charger at an affordable price, and for 8.90 euros you can get the matching case from Makita (Makita transport case BDF343 DDF453 BHP453 DHP 453).",55,,16,"top packaging and delivery. the device works perfectly. even holes in masonry are no problem thanks to the percussion mechanism. very powerful with 36/62 nm torque. with accessory batteries and charger at an affordable price, and for 8.90 euros you can get the matching case from makita (makita transport case bdf343 ddf453 bhp453 dhp 453).",top packaging and delivery  the device works perfectly  even holes in masonry are no problem thanks to the percussion mechanism  very powerful with 36 62 nm torque  with accessory batteries and charger at an affordable price  and for 8 90 euros you can get the matching case from makita  makita transport case bdf343 ddf453 bhp453 dhp 453  ,top packaging delivery device works perfectly even holes masonry problem thanks percussion mechanism powerful 36 62 nm torque accessory batteries charger affordable price 8 90 euros get matching case makita makita transport case bdf343 ddf453 bhp453 dhp 453,top packaging delivery device works perfectly even holes masonry problem thanks percussion mechanism powerful 36 62 nm torque accessory batteries charger affordable price 8 90 euros get matching case makita makita transport case bdf343 ddf453 bhp453 dhp 453,top packaging delivery device work perfectly even hole masonry problem thanks percussion mechanism powerful 36 62 nm torque accessory battery charger affordable price 8 90 euro get matching case makita makita transport case bdf343 ddf453 bhp453 dhp 453,0.5,0.675
164,Ich habe erst vor kurzem auf das Makita-System gewechselt und bin mehr als zufrieden. Ich betreibe den Schlagbohrschrauber zusammen mit dem Makita 18V 5.0Ah Akku. Der Schrauber liegt sehr gut in der Hand und fühlt sich griffig und hochwertig an. Tolle Verarbeitung!,de,I have only recently switched to the Makita system and am more than satisfied. I use the impact drill together with the Makita 18V 5.0Ah battery. The screwdriver feels very good in the hand and has a good grip and high-quality feel. Great workmanship!,44,,18,i have only recently switched to the makita system and am more than satisfied. i use the impact drill together with the makita 18v 5.0ah battery. the screwdriver feels very good in the hand and has a good grip and high-quality feel. great workmanship!,i have only recently switched to the makita system and am more than satisfied  i use the impact drill together with the makita 18v 5 0ah battery  the screwdriver feels very good in the hand and has a good grip and high quality feel  great workmanship ,recently switched makita system satisfied use impact drill together makita 18v 5 0ah battery screwdriver feels good hand good grip high quality feel great workmanship,recently switched makita system satisfied use impact drill together makita 18v 0ah battery screwdriver feels good hand good grip high quality feel great workmanship,recently switched makita system satisfied use impact drill together makita 18v 0ah battery screwdriver feel good hand good grip high quality feel great workmanship,0.47666666666666674,0.6233333333333334
165,Wunderbar Sehr gut und günstig,de,Wonderful Very good and cheap,5,,1,wonderful very good and cheap,wonderful very good and cheap,wonderful good cheap,wonderful good cheap,wonderful good cheap,0.7000000000000001,0.7666666666666666
166,Ideal solution as I already had a Makita impact driver,en,Ideal solution as I already had a Makita impact driver,10,54.0,3,ideal solution as i already had a makita impact driver,ideal solution as i already had a makita impact driver,ideal solution already makita impact driver,ideal solution already makita impact driver,ideal solution already makita impact driver,0.9,1.0
167,Makita ist und bleibt top,de,Makita is and remains top,5,,2,makita is and remains top,makita is and remains top,makita remains top,makita remains top,makita remains top,0.5,0.5
168,ok,en,ok,1,2.0,0,ok,ok,ok,ok,ok,0.5,0.5
169,"Zu schwer, wie kaufen sonst nur Hilti.",de,"Too heavy, as only Hilti usually buys.",7,,2,"too heavy, as only hilti usually buys.",too heavy  as only hilti usually buys ,heavy hilti usually buys,heavy hilti usually buys,heavy hilti usually buy,-0.225,0.375
170,super gerät,de,super device,2,,0,super device,super device,super device,super device,super device,0.3333333333333333,0.6666666666666666
171,Das Preis leistungs Verhältnis passt hier super. Tolle maschiene toller Preis,de,The price-performance ratio is perfect here. Great machine great price,10,,1,the price-performance ratio is perfect here. great machine great price,the price performance ratio is perfect here  great machine great price,price performance ratio perfect great machine great price,price performance ratio perfect great machine great price,price performance ratio perfect great machine great price,0.8666666666666667,0.8333333333333334
172,Hat mich richtig positiv überrascht.  Kann man nur empfehlen.,de,It really surprised me in a positive way.  I can only recommend it.,13,,5,it really surprised me in a positive way. i can only recommend it.,it really surprised me in a positive way  i can only recommend it ,really surprised positive way recommend,really surprised positive way recommend,really surprised positive way recommend,0.16363636363636364,0.7227272727272727
173,Makita hält was es verspricht,de,Makita delivers what it promises,5,,2,makita delivers what it promises,makita delivers what it promises,makita delivers promises,makita delivers promises,makita delivers promise,0.0,0.0
174,"Habe mir diesen Akku-Schlagbohrschrauber als Nachfolger zu meiner alten ""2011er"" Maschine bestellt und bin fasziniert, wie gut das kleinere Modell ist. Deutlich höhere Geschwindigkeiten und mehr Hub im Schlag. Toll...:-)",de,"I ordered this cordless impact drill as a successor to my old ""2011"" machine and am fascinated by how good the smaller model is. Significantly higher speeds and more stroke in the impact. Great...:-)",34,,14,"i ordered this cordless impact drill as a successor to my old ""2011"" machine and am fascinated by how good the smaller model is. significantly higher speeds and more stroke in the impact. great...:-)",i ordered this cordless impact drill as a successor to my old  2011  machine and am fascinated by how good the smaller model is  significantly higher speeds and more stroke in the impact  great      ,ordered cordless impact drill successor old 2011 machine fascinated good smaller model significantly higher speeds stroke impact great,ordered cordless impact drill successor old 2011 machine fascinated good smaller model significantly higher speeds stroke impact great,ordered cordless impact drill successor old 2011 machine fascinated good smaller model significantly higher speed stroke impact great,0.37,0.51
175,"Hele fijne machine, veelzijdig en van goede kwaliteit",nl,"Very fine machine, versatile and good quality",7,,1,"very fine machine, versatile and good quality",very fine machine  versatile and good quality,fine machine versatile good quality,fine machine versatile good quality,fine machine versatile good quality,0.5583333333333333,0.55
176,"Nach kurzem gebrauch, eiert das Bohrfutter, für ein Markenprodukt wie Markita nicht akzeptabel.",de,"After a short time of use, the drill chuck is wobbling, which is unacceptable for a brand product like Markita.",20,,8,"after a short time of use, the drill chuck is wobbling, which is unacceptable for a brand product like markita.",after a short time of use  the drill chuck is wobbling  which is unacceptable for a brand product like markita ,short time use drill chuck wobbling unacceptable brand product like markita,short time use drill chuck wobbling unacceptable brand product like markita,short time use drill chuck wobbling unacceptable brand product like markita,0.0,0.3
177,"Habe gute Erfahrung mit Makitageräten, letzter Akkuschrauber hat mir  bei vielen Baustellen profimäßig geholfen ( 5Jahre )",de,"I have good experience with Makita tools, the last cordless screwdriver has helped me professionally on many construction sites (5 years).",21,,6,"i have good experience with makita tools, the last cordless screwdriver has helped me professionally on many construction sites (5 years).",i have good experience with makita tools  the last cordless screwdriver has helped me professionally on many construction sites  5 years  ,good experience makita tools last cordless screwdriver helped professionally many construction sites 5 years,good experience makita tools last cordless screwdriver helped professionally many construction sites years,good experience makita tool last cordless screwdriver helped professionally many construction site year,0.39999999999999997,0.3888888888888889
178,"Makita  ist  und bleibt  das beste.. diese  Griffiges Kleines Akku Schlagbohrschauber,  werde ich jeder  empfehlen.  das  preis ist hammer  .. in  handel  kosten 105-115 euro.hier 63 euro mit  versand. also  top.",de,"Makita is and remains the best... this handy little cordless impact drill, I will recommend to everyone. the price is awesome... in trade cost 105-115 euro.here 63 euro with shipping. so top.",32,,11,"makita is and remains the best... this handy little cordless impact drill, i will recommend to everyone. the price is awesome... in trade cost 105-115 euro.here 63 euro with shipping. so top.",makita is and remains the best    this handy little cordless impact drill  i will recommend to everyone  the price is awesome    in trade cost 105 115 euro here 63 euro with shipping  so top ,makita remains best handy little cordless impact drill recommend everyone price awesome trade cost 105 115 euro 63 euro shipping top,makita remains best handy little cordless impact drill recommend everyone price awesome trade cost 105 115 euro 63 euro shipping top,makita remains best handy little cordless impact drill recommend everyone price awesome trade cost 105 115 euro 63 euro shipping top,0.5825,0.64
179,"                    Die Medien konnten nicht geladen werden.                 Ich habe das Gerät wieder zurück gehen lassen, da ein massives Spiel im Bohrfutter vorgelegen hat.Da mich interessiert hat ob dieses Spiel nur bei meinem Gerät vorkommt oder ein Fehler in der Serie vorliegt habe ich einige Erkundigungen eingeholt.Mein erster Anruf ging an Makita direkt. Der Techniker den ich in der Leitung hatte sagte mir, dass ein zu starkes Spiel für ein neues Gerät ungewöhnlich sein und ich das Gerät am besten wieder zurück geben solle.Der Verkäufer (Netbuy24) zeigte sich kulant und nahm das Gerät zurück, wobei er darauf verwiesen hat, dass das von mir reklamierte Spiel vollkommen normal sei und alle seine Geräte dieses Typs dieses Spiel aufweisen. Dies sei auch so von Makita gewollt, da der Kopf ja beim Schlagbohren mitschwingen müsse.Das hat mich doch sehr stutzig gemacht! Daraufhin bin ich zum örtlichen Makita Händler. Dieser erklärte mir, dass dieses Spiel nicht normal sei und mir exakt das gleiche Gerät ohne dieses Spiel zeigte.Am Besten es macht sich jeder selbst ein Bild und schaut sich das Video an. Für mich sieht das irgendwie nach Qualitätsproblemen aus.....Ich habe mir übrigens jetzt einen DHP 458 zugelegt - der hat nur minimales Spiel im Borhfutter!",de,"                    The media could not be loaded.                 I had the unit returned because there was a massive amount of play in the drill chuck.Since I was interested in whether this play was unique to my unit or a fault in the series, I made some enquiries.My first call was to Makita directly. The technician I had on the line told me that too much play was unusual for a new machine and that I should return the machine. The seller (Netbuy24) was very accommodating and took the machine back, pointing out that the play I had complained about was completely normal and that all of his machines of this type had this play. This was also the way Makita wanted it, as the head had to swing when drilling, which made me very suspicious! So I went to my local Makita dealer. He explained to me that this play was not normal and showed me exactly the same tool without this play. It's best for everyone to see for themselves and watch the video. For me, this looks like a quality problem somehow.....By the way, I have now bought a DHP 458 - it only has minimal play in the chuck!",200,,96,"the media could not be loaded. i had the unit returned because there was a massive amount of play in the drill chuck.since i was interested in whether this play was unique to my unit or a fault in the series, i made some enquiries.my first call was to makita directly. the technician i had on the line told me that too much play was unusual for a new machine and that i should return the machine. the seller (netbuy24) was very accommodating and took the machine back, pointing out that the play i had complained about was completely normal and that all of his machines of this type had this play. this was also the way makita wanted it, as the head had to swing when drilling, which made me very suspicious! so i went to my local makita dealer. he explained to me that this play was not normal and showed me exactly the same tool without this play. it's best for everyone to see for themselves and watch the video. for me, this looks like a quality problem somehow.....by the way, i have now bought a dhp 458 - it only has minimal play in the chuck!",the media could not be loaded  i had the unit returned because there was a massive amount of play in the drill chuck since i was interested in whether this play was unique to my unit or a fault in the series  i made some enquiries my first call was to makita directly  the technician i had on the line told me that too much play was unusual for a new machine and that i should return the machine  the seller  netbuy24  was very accommodating and took the machine back  pointing out that the play i had complained about was completely normal and that all of his machines of this type had this play  this was also the way makita wanted it  as the head had to swing when drilling  which made me very suspicious  so i went to my local makita dealer  he explained to me that this play was not normal and showed me exactly the same tool without this play  it s best for everyone to see for themselves and watch the video  for me  this looks like a quality problem somehow     by the way  i have now bought a dhp 458   it only has minimal play in the chuck ,media could loaded unit returned massive amount play drill chuck since interested whether play unique unit fault series made enquiries first call makita directly technician line told much play unusual new machine return machine seller netbuy24 accommodating took machine back pointing play complained completely normal machines type play also way makita wanted head swing drilling made suspicious went local makita dealer explained play normal showed exactly tool without play best everyone see watch video looks like quality problem somehow way bought dhp 458 minimal play chuck,media could loaded unit returned massive amount play drill chuck since interested whether play unique unit fault series made enquiries first call makita directly technician line told much play unusual new machine return machine seller netbuy24 accommodating took machine back pointing play complained completely normal machines type play also way makita wanted head swing drilling made suspicious went local makita dealer explained play normal showed exactly tool without play best everyone see watch video looks like quality problem somehow way bought dhp 458 minimal play chuck,medium could loaded unit returned massive amount play drill chuck since interested whether play unique unit fault series made enquiry first call makita directly technician line told much play unusual new machine return machine seller netbuy24 accommodating took machine back pointing play complained completely normal machine type play also way makita wanted head swing drilling made suspicious went local makita dealer explained play normal showed exactly tool without play best everyone see watch video look like quality problem somehow way bought dhp 458 minimal play chuck,0.16633522727272723,0.47111742424242425
180,Alles bestens,de,Everything fine,2,,0,everything fine,everything fine,everything fine,everything fine,everything fine,0.4166666666666667,0.5
181,alle wie erwartet top,de,all top as expected,4,,2,all top as expected,all top as expected,top expected,top expected,top expected,0.2,0.45
182,"Guten Tag, es ist so wie ich es mir vorgestellt habe Maschine in sehr gutem Zustand. Schneller Versand, Preis gut.",de,"Good day, it is as I imagined machine in very good condition. Fast shipping, price good.",16,,5,"good day, it is as i imagined machine in very good condition. fast shipping, price good.",good day  it is as i imagined machine in very good condition  fast shipping  price good ,good day imagined machine good condition fast shipping price good,good day imagined machine good condition fast shipping price good,good day imagined machine good condition fast shipping price good,0.575,0.6000000000000001
183,"Gut händelbar, Kraft gut dosierbar, Drehmoment exakt einstellbar, Bohren in Stahl und Beton problemlos.Lange Arbeitszeit mit einem 18V 5AH",de,"Easy to handle, power can be dosed well, torque can be adjusted precisely, drilling in steel and concrete without problems.Long working time with an 18V 5AH",26,,9,"easy to handle, power can be dosed well, torque can be adjusted precisely, drilling in steel and concrete without problems.long working time with an 18v 5ah",easy to handle  power can be dosed well  torque can be adjusted precisely  drilling in steel and concrete without problems long working time with an 18v 5ah,easy handle power dosed well torque adjusted precisely drilling steel concrete without problems long working time 18v 5ah,easy handle power dosed well torque adjusted precisely drilling steel concrete without problems long working time 18v 5ah,easy handle power dosed well torque adjusted precisely drilling steel concrete without problem long working time 18v 5ah,0.23333333333333334,0.5833333333333334
